day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
2;7;3;1;7;1;1;4;1;1;  ;34;  ;  ;  ;2021;2018;           ;18-29;1;1;2;(2012,2017];18-29;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;18;1;1598;1968;     ;0
7;7;3;1;7;1;1;4;1;1;1;34;  ;20;  ;2019;2018;2017;45-54;1;2;2;(2012,2017];30-44;2;2;2;(2012,2017];65+  ;1;1;2;(1982,1987];0;0;0;0;5;18;2;1800;1500;1995;0
5;7;3;1;7;1;1;4;1;1;  ;20;  ;21;  ;(2002,2012];(2002,2012];           ;30-44;2;2;2;(2002,2007];18-29;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;22;2;     ;     ;     ;0
6;7;2;1;7;1;1;4;1;1;1;36;  ;20;  ;2018;2018;(2002,2012];45-54;2;1;2;(2012,2017];18-29;2;1;2;(2017,2022];30-44;1;1;2;(2017,2022];0;0;0;0;3;19;2;     ;     ;     ;0
5;7;3;1;7;1;1;4;8;1;  ;22;  ;21;  ;2018;(2002,2012];           ;55-64;1;1;3;(2017,2022];30-44;1;2; ;           ;     ; ; ; ;           ;0;0;0;0;2;0;2;1997;     ;     ;0
4;7;3;1;7;1;1;4;8;1;  ;23;  ;20;  ;2015;(2002,2012];           ;n.i. ;1;1; ;           ;18-29;2;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;4;3;     ;     ;     ;0
7;7;3;1;7;1;1;4;1;1;1;21;  ;20;  ;(2002,2012];2021;2013;30-44;2;1;2;(2012,2017];30-44;2;1;2;(2012,2017];30-44;1;2;2;(2017,2022];0;0;0;0;3;15;3;1149;999;1368;0
6;7;1;1;7;1;1;4;1;1;8;21;  ;20;  ;2018;           ;2016;45-54;1;1;2;(2017,2022];30-44;1;2;2;(2017,2022];45-54;1;1;2;(2017,2022];0;0;0;0;2;13;4;     ;     ;     ;0
5;7;1;1;7;1;1;2;1;1;1;21;  ;21;  ;2019;2019;(2002,2012];30-44;1;2;2;(2017,2022];55-64;1;1;2;(2002,2007];65+  ;1;1;2;(2017,2022];0;0;0;0;2;21;4;     ;     ;     ;0
2;7;1;1;7;2;3;4;1;1;1;22;  ;20;  ;2017;(2002,2012];2015;45-54;1;1;2;(1987,1992];45-54;1;1;2;(1987,1992];30-44;2;2;2;(2012,2017];0;0;0;0;1;19;1;1499;1587;999;0
5;7;1;1;8;1;1;8;8;  ;  ;61;  ;65;  ;2018;           ;           ;30-44;1;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;15;1;     ;     ;     ;0
7;7;1;1;8;2;1;6;1;1;1;64;  ;62;  ;(2002,2012];(2002,2012];(2002,2012];18-29;1;1;2;(2017,2022];45-54;1;1;2;(2017,2022];65+  ;1;1;2;(2017,2022];0;0;0;0;3;5;1;1360;1997;1368;0
2;7;1;1;7;1;1;4;1;16;  ;21;  ;20;  ;(2002,2012];           ;           ;45-54;1;2;2;(2012,2017];n.i. ;1;1; ;           ;     ; ; ; ;           ;0;0;0;0;2;5;1;1242;     ;     ;0
2;7;1;1;7;1;1;8;1;  ;  ;64;  ;65;  ;(2002,2012];           ;           ;18-29;2;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;23;1;1368;     ;     ;0
